#{"t_start": 1764976455.8518739, "env_id": "None"}
r,l,t
19.4421,20,1.661315
9.414378,14,1.73597
16.440557,10,1.793408
27.715918,63,2.189159
40.925452,59,2.407851
24.895929,20,2.491521
13.952109,19,2.609565
11.832032,21,2.692773
17.131098,30,2.822586
10.22979,25,2.916803
10.473576,22,3.270231
11.140054,22,3.395952
23.666379,33,3.622569
14.58896,23,3.71423
10.184065,25,3.838826
13.516048,41,3.957291
16.004977,25,4.197715
22.923623,32,4.517852
13.890109,21,4.604581
11.487583,17,4.647021
41.324397,31,4.793113
27.038226,18,4.854655
14.510568,33,4.988453
13.243743,18,5.061965
45.866528,46,5.257083
13.68528,25,5.388745
15.334954,27,5.480103
26.445036,22,5.613255
13.903969,20,5.697039
11.817056,16,5.738857
12.670054,17,5.85885
9.085932,14,5.93171
17.415064,25,6.053414
12.986304,41,6.160248
13.325687,18,6.272231
24.147922,21,6.343806
13.205675,20,6.483073
16.25062,24,6.576728
24.66846,20,6.627879
46.123763,35,6.835031
25.548135,26,6.955672
9.32269,20,7.037338
11.475802,17,7.080136
28.647894,24,7.207688
48.773924,55,7.453664
11.659424,17,7.504011
23.769297,18,7.622668
24.936266,22,7.699154
12.67178,23,7.824846
26.761732,22,7.90487
15.168759,22,7.950607
14.76599,24,8.069859
15.530272,27,8.1513
12.949795,27,8.2936
56.047309,58,8.509619
15.800125,20,8.642241
27.346191,46,8.835873
13.854249,23,8.926319
19.370533,24,8.9787
15.697851,31,9.153854
9.195589,21,9.207427
23.644242,20,9.335927
21.295392,38,9.498857
10.042164,24,9.583815
16.348324,23,9.704558
13.848278,23,9.784019
10.625237,17,9.829081
24.677667,22,9.958546
24.612581,19,10.042336
17.691363,10,10.08111
6.029644,21,10.213817
26.828243,24,10.29581
7.16636,20,10.42799
14.195107,21,10.507892
14.141325,33,10.644815
29.260894,24,10.741316
14.734821,22,10.887164
17.842944,23,10.967705
25.876055,19,11.08353
11.611813,31,11.187544
